spec_id,topic_id,retrieval_level,A_retrieval_ms,A_generation_ms,A_total_ms,B_retrieval_ms,B_evaluator_ms,B_rewrite_cycle_ms,B_generation_ms,B_total_ms,B_path
T3_023,T3,R1,973.1219580000002,33471.48987500001,34444.611833,489.0350000000012,741.3022079999934,25933.393042,0.0,32166.569707999995,rewritten_or_fallback
T1_004,T1,R1,420.8638329999985,4377.090458000012,4797.954291000011,398.5198329999946,1148.475167000001,0.0,31025.145832999995,37575.52591599999,direct
T1_001,T1,R1,483.22791699999357,1482.3162499999967,1965.5441669999902,455.5334579999908,1412.8746250000006,0.0,11808.08008300002,18679.935290999994,direct
T6_020,T6,R1,476.3900000000092,2691.45229199998,3167.842291999989,458.9226249999854,1043.5297920000153,0.0,5981.938665999991,12484.71062499999,direct
T4_001,T4,R1,356.6315000000202,6842.479083,7199.110583000021,391.7462080000007,1140.9165830000063,0.0,9691.356291999995,16225.756791000009,direct
T3_006,T3,R2,464.33795800001576,8728.012167000003,9192.350125000019,503.5672920000138,2277.1430829999986,0.0,20582.106124999995,28367.928583000008,direct
T3_005,T3,R2,473.4827499999881,9508.651624999999,9982.134374999987,409.7700410000016,8690.703625000026,14640.966458000037,934.078124999985,34685.72187500001,rewritten_or_fallback
T2_007,T2,R2,423.4245000000101,7280.251082999996,7703.675583000006,485.39795899995397,1166.9792910000183,24786.277332999987,4022.799750000047,40473.347375000005,rewritten_or_fallback
T4_017,T4,R2,464.7774580000146,4557.048583999972,5021.826041999986,435.9856250000007,41349.908749999995,0.0,23757.33712499999,70547.63549999996,direct
T2_005,T2,R2,856.7910830000187,3259.5172499999876,4116.308333000006,454.7885419999602,17985.84225000002,13815.771165999991,0.0,37266.529333999984,rewritten_or_fallback
T6_018,T6,R3,400.7807920000346,2286.499249999963,2687.2800419999976,473.466124999959,1174.8024580000447,0.0,10855.513457999961,17513.89654100001,direct
T7_026,T7,R3,536.6862079999919,9111.487583999973,9648.173791999965,455.24650000004385,2023.5992919999717,38353.34079200004,0.0,45842.31975,rewritten_or_fallback
T2_020,T2,R3,482.83037500004866,3866.1157079999384,4348.946082999987,444.55262499991477,1097.9375420000679,0.0,8960.907625000003,15513.497124999958,direct
T2_011,T2,R3,471.31133300001693,5998.3358749999525,6469.647207999969,506.26983300003303,1569.463208000002,1148804.8349589999,0.0,1155890.6860000002,rewritten_or_fallback
T3_025,T3,R3,450.2087920000122,3627.6828750001187,4077.891667000131,445.95958299987615,826.2667500000589,0.0,9450.562582999964,15727.89858300007,direct
T7_018,T7,R4,443.99187500016524,3004.8072499998852,3448.7991250000505,394.7587499999372,1517.0412920001581,0.0,33325.11533299999,40242.096292000046,direct
T2_013,T2,R4,450.95195799990506,1416.6407090001485,1867.5926670000536,429.0355420000651,1528.3916250000402,12599.371333000136,22194.612332999895,46761.597292000035,rewritten_or_fallback
T1_011,T1,R4,467.05166699985057,2526.6744170000948,2993.7260839999453,449.3710409999494,19205.593958999998,0.0,27114.002207999874,51775.67758299984,direct
T2_014,T2,R4,464.30783300002076,1168.1334589998187,1632.4412919998394,461.3789589998305,1194.200500000079,13825.65770799988,3729.5956670000123,29220.85058399989,rewritten_or_fallback
T3_019,T3,R4,453.6932920000254,33042.94004200005,33496.63333400008,422.1623749999708,1517.295749999903,0.0,8914.285500000005,15858.875207999745,direct
