spec_id,topic_id,retrieval_level,A_retrieval_ms,A_generation_ms,A_total_ms,B_retrieval_ms,B_evaluator_ms,B_rewrite_cycle_ms,B_generation_ms,B_total_ms,B_path
T3_023,T3,R1,845.8477080000009,47975.76025,48821.607958,491.32962499999167,732.846041000002,42299.407167,895.1215830000052,44418.704416,rewritten_or_fallback
T1_004,T1,R1,802.5104589999899,27003.080333000013,27805.590792000003,379.9207499999966,3225.5674170000075,0.0,41059.692791999994,44665.180959,direct
T1_001,T1,R1,827.1449580000194,1300.567457999989,2127.7124160000085,410.12791700001117,1168.6837500000138,0.0,1473.7634169999865,3052.5750840000114,direct
T6_020,T6,R1,982.5296660000049,2307.271750000041,3289.8014160000457,444.0584170000079,1234.5785830000295,0.0,1716.847457999961,3395.4844579999985,direct
T4_001,T4,R1,825.3361249999784,1646.0707500000353,2471.4068750000138,328.3313749999479,1716.6799999999967,0.0,1281.5514999999778,3326.5628749999223,direct
T3_006,T3,R2,909.4157920000043,20247.8397079999,21157.255499999905,487.13516700001946,3682.3854169999777,3242.1121250000624,1814.6025409999993,9226.23525000006,rewritten_or_fallback
T3_005,T3,R2,868.5898749999978,12286.925958999973,13155.51583399997,511.58808299999237,2784.542667000096,0.0,16997.494499999902,20293.62524999999,direct
T2_007,T2,R2,931.2245419999954,13346.63204100002,14277.856583000015,446.19458400006806,4089.731874999984,11346.640500000034,0.0,15882.566959000087,rewritten_or_fallback
T4_017,T4,R2,889.8260000000846,4012.3484999999164,4902.174500000001,456.95504200000414,1537.3902079999198,0.0,3333.8833340000065,5328.22858399993,direct
T2_005,T2,R2,964.7872080000752,5599.03470900008,6563.821917000155,478.49295800006075,1188.183624999965,22696.55579200003,6633.508749999919,30996.74112499997,rewritten_or_fallback
T6_018,T6,R3,907.1029169999747,1532.6707500000794,2439.773667000054,466.2289579998742,1690.7332499999939,0.0,1167.3908750001374,3324.3530830000054,direct
T7_026,T7,R3,813.9944170000035,4072.2553330001574,4886.249750000161,454.54724999990503,14971.626209000078,20567.20437499985,4848.552375000054,40841.93020899988,rewritten_or_fallback
T2_020,T2,R3,1400.2659170000697,2706.2433749999855,4106.509292000055,507.29004200002237,7695.578292000164,0.0,2560.1694999998017,10763.037833999988,direct
T2_011,T2,R3,959.5867079999607,3632.3467919999075,4591.933499999868,422.8153750000274,1664.2435000001115,3303.1144169999607,0.0,5390.1732920000995,rewritten_or_fallback
T3_025,T3,R3,846.1554589998741,3510.652041000185,4356.807500000059,470.6662910000432,904.8509169999761,0.0,3246.7470829999456,4622.264290999965,direct
T7_018,T7,R4,895.571708000034,32547.565750000103,33443.137458000136,523.1299170000057,1733.7138749999212,0.0,33680.72379099999,35937.567582999916,direct
T2_013,T2,R4,891.3446250001016,16569.57595799986,17460.920582999963,460.42820899992876,1668.5272499998973,23755.5574160001,0.0,25884.512874999928,rewritten_or_fallback
T1_011,T1,R4,920.9099999998216,1910.2645840000605,2831.174583999882,545.0829999999769,1764.649167000016,0.0,781.7591250000078,3091.4912920000006,direct
T2_014,T2,R4,935.3742499999953,2492.53945800001,3427.9137080000055,452.7177089998986,2365.5593749999753,1922.6594159999877,0.0,4740.936499999862,rewritten_or_fallback
T3_019,T3,R4,942.9061249998085,29252.461291000145,30195.367415999954,451.3697080001293,1758.4152919998814,0.0,2763.855958000022,4973.640958000033,direct
