spec_id,topic_id,retrieval_level,A_retrieval_ms,A_generation_ms,A_total_ms,B_retrieval_ms,B_evaluator_ms,B_rewrite_cycle_ms,B_generation_ms,B_total_ms,B_path
T3_023,T3,R1,922.2695830000002,47862.658666999996,48784.92825,456.90170800000374,1898.6576249999985,3508.5547080000056,0.0,5864.114041000008,rewritten_or_fallback
T1_004,T1,R1,473.3233339999998,27622.338249999997,28095.661583999998,400.535667000014,1948.3424999999954,0.0,3228.276082999997,5577.154250000007,direct
T1_001,T1,R1,377.99716700001795,1304.846457999986,1682.8436250000038,421.856541999972,1426.698291000008,0.0,1359.0258339999934,3207.580666999974,direct
T6_020,T6,R1,426.1667920000036,20206.650499999996,20632.817292,431.16183399999386,715.78037499998,0.0,2755.3802080000196,3902.3224169999935,direct
T4_001,T4,R1,406.4000000000192,1346.2946669999951,1752.6946670000143,352.8486249999787,1396.3023339999836,0.0,25602.683624999998,27351.83458399996,direct
T3_006,T3,R2,1047.0452919999502,2182.7612500000555,3229.8065420000057,423.26125000005277,1791.9532079999954,21204.16845799997,18384.303959000023,41803.68687500004,rewritten_or_fallback
T3_005,T3,R2,897.7156249999894,12103.881708000017,13001.597333000007,450.62166700000716,2033.124999999984,6512.4862499999945,1468.622291000031,10464.855208000017,rewritten_or_fallback
T2_007,T2,R2,542.9542910000009,1970.8411249999926,2513.7954159999936,478.4321250000403,1992.5461670000004,3244.845957999928,2082.1816249999756,7798.005874999944,rewritten_or_fallback
T4_017,T4,R2,540.6745409999303,31820.39054200004,32361.065082999972,446.9217920000119,16668.323041999996,0.0,39935.47120800008,57050.71604200009,direct
T2_005,T2,R2,838.6359169999196,13811.788791000026,14650.424707999946,424.7915419999799,16282.23070799993,16175.220834000014,10202.832833000002,43085.07591699993,rewritten_or_fallback
T6_018,T6,R3,470.48449999999775,1323.092584000051,1793.5770840000487,493.5103340000069,2447.2461249999924,26061.99883299996,1305.8153750000656,30308.57066700003,rewritten_or_fallback
T7_026,T7,R3,473.94500000007156,5309.231249999925,5783.176249999997,492.93454200005726,1120.3687080000009,34300.19791699999,4097.926375000043,40011.42754200009,rewritten_or_fallback
T2_020,T2,R3,481.4764579999746,24512.764500000005,24994.240957999977,428.6172089999809,2352.2544580000613,0.0,2893.5068749999573,5674.3785419999995,direct
T2_011,T2,R3,454.0705000000571,4441.334041999994,4895.404542000051,440.3525420000278,2334.252832999937,1879.7940840001957,0.0,4654.39945900016,rewritten_or_fallback
T3_025,T3,R3,545.2817089999371,39056.03220800003,39601.31391699997,509.66870800016295,726.817125000025,0.0,37735.03620799988,38971.52204100007,direct
T7_018,T7,R4,919.8114999999234,3640.504666000197,4560.316166000121,425.7218749999083,2039.1338750000614,0.0,4201.212417000079,6666.068167000049,direct
T2_013,T2,R4,509.6963749999759,2747.1935420001046,3256.8899170000805,567.9646250000587,1108.076457999914,2271.8032079999375,0.0,3947.8442909999103,rewritten_or_fallback
T1_011,T1,R4,442.33554199990976,2105.4279160000533,2547.763457999963,377.50916599998163,1989.967624999963,0.0,18223.89429200007,20591.371083000013,direct
T2_014,T2,R4,518.9259169999332,2502.4185000002035,3021.3444170001367,480.5973749998884,1858.226292000154,25486.774291999835,34507.97162500021,62333.569584000084,rewritten_or_fallback
T3_019,T3,R4,798.3575420000761,22662.789875000046,23461.14741700012,414.7709169999416,13600.070125000002,2879.9535830000877,39340.40862500001,56235.20325000004,rewritten_or_fallback
